category,title,author,published_date,detail_url,download_url,page_no,year,source,crawled_at
정책브리프,"동물실험 대체 전환기, 오가노이드 현황과 시사점 - 주요국 정책 및 국가연구개발사업을 중심으로 -","KISTEP 바이오혁신전략팀 심현아 부연구위원, 윤희정 팀장",2026-06-08,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94746&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94746&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
이슈페이퍼,특허 네트워크로 살펴본 글로벌 인공지능 기술 경쟁의 지형 -USPTO 등록특허를 중심으로-,KISTEP 혁신정보분석센터 한웅용 연구위원,2026-05-27,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94731&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94731&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
통계브리프,세계지식재산기구 혁신역량전망 2026 분석,KISTEP 혁신정보분석센터 김선정 전문관리원,2026-05-08,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94697&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94697&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
정책브리프,일본 「제7기 과학기술·혁신 기본계획」 주요 내용 및 시사점,"KISTEP 정책협력팀 이새롬 부연구위원, 김민재 선임전문관리원, 배용국 팀장",2026-04-20,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94676&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94676&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
정책브리프,중국 제15차 5개년 계획의 산업체계 및 과학기술 혁신 분야 주요 내용과 시사점,KISTEP 혁신전략기획센터 전부기 부연구위원,2026-04-08,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94660&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94660&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
정책브리프,주요국의 국제공동연구 성과물 관리 제도 현황 및 시사점,"KISTEP 글로벌과학기술협력센터 신승현 연구원, 허정 부연구위원",2026-03-31,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94647&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94647&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
미래예측브리프,건강 사회 실현을 위한 10대 미래유망기술,"KISTEP 기술예측센터 지수영 선임전문관리원, 신동평 센터장",2026-03-24,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94603&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94603&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
기술동향브리프,미(美) AI 전략 '제네시스 미션' 첫 협력국 일본: 한국의 참여 전략,"KISTEP 글로벌과학기술협력센터 이해림 선임전문관리원, 도계훈 연구위원",2026-03-16,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94578&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94578&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
미래예측브리프,AI 반도체의 미래와 전환점,"KISTEP 연구개발예산정책센터 정의진 연구위원, 신동평 기술예측센터장, 손석호 글로벌기술전략본부장",2026-03-13,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94576&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94576&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
통계브리프,국가 R&D 바이오 분야 집행 현황 분석,"KISTEP 바이오혁신전략팀 이민준 부연구위원, 윤희정 팀장",2026-03-09,https://www.kistep.re.kr/board.es?mid=a10306010000&bid=0031&b_list=10&act=view&list_no=94561&nPage=1&keyField=&orderby=,https://www.kistep.re.kr/boardDownload.es?bid=0031&list_no=94561&seq=1,1,2026,KISTEP,2026-06-11 14:54:08.745961
